2025-1-13,8:15:12,45.7  
2025-1-13,8:30:34,47.1  
2025-1-13,8:45:57,49.8  
2025-1-13,9:0:18,320.2  
2025-1-13,9:15:41,850.6  
2025-1-13,9:30:5,1100.4  
2025-1-13,9:45:33,1500.7  
2025-1-13,10:0:44,900.3  
2025-1-13,10:15:0,250.5  
2025-1-13,10:30:20,70.8  
2025-1-14,8:15:12,52.4  
2025-1-14,8:30:34,55.9  
2025-1-14,8:45:57,58.7  
2025-1-14,9:0:18,65.3  
2025-1-14,9:15:41,520.8  
2025-1-14,9:30:5,800.2  
2025-1-14,9:45:33,1150.4  
2025-1-14,10:0:44,900.6  
2025-1-14,10:15:0,340.9  
2025-1-14,10:30:20,85.7  
2025-1-15,8:15:12,60.4  
2025-1-15,8:30:34,64.9  
2025-1-15,8:45:57,69.3  
2025-1-15,9:0:18,550.7  
2025-1-15,9:15:41,1000.2  
2025-1-15,9:30:5,1400.8  
2025-1-15,9:45:33,1700.5  
2025-1-15,10:0:44,1200.1  
2025-1-15,10:15:0,400.6  
2025-1-15,10:30:20,90.3  
2025-1-16,8:15:12,50.4  
2025-1-16,8:30:34,53.8  
2025-1-16,8:45:57,57.2  
2025-1-16,9:0:18,900.4  
2025-1-16,9:15:41,1200.5  
2025-1-16,9:30:5,1500.3  
2025-1-16,9:45:33,1800.9  
2025-1-16,10:0:44,1000.2  
2025-1-16,10:15:0,300.7  
2025-1-16,10:30:20,85.8  
2025-1-17,8:15:12,62.4  
2025-1-17,8:30:34,65.8  
2025-1-17,8:45:57,69.7  
2025-1-17,9:0:18,750.4  
2025-1-17,9:15:41,1100.8  
2025-1-17,9:30:5,1300.2  
2025-1-17,9:45:33,1600.5  
2025-1-17,10:0:44,900.9  
2025-1-17,10:15:0,270.6  
2025-1-17,10:30:20,75.3  
2025-1-18,8:15:12,58.2  
2025-1-18,8:30:34,61.7  
2025-1-18,8:45:57,65.4  
2025-1-18,9:0:18,800.9  
2025-1-18,9:15:41,1250.4  
2025-1-18,9:30:5,1400.1  
2025-1-18,9:45:33,1800.7  
